L,Delta,Entropy_Threshold,Avg_Accuracy_Percent,Median_Accuracy_Percent,Min_Accuracy_Percent,Max_Accuracy_Percent,Exact_Matches,Exact_Match_Rate_Percent,Avg_Undecided_Bits,Avg_Decided_Bits
8,2.0,1.5,62.875,75.0,0.0,100.0,7,7.000000000000001,2.97,5.03
8,2.0,2.0,62.75,75.0,0.0,100.0,18,18.0,2.98,5.02
8,2.0,2.5,62.5,62.5,0.0,100.0,8,8.0,3.0,5.0
8,2.0,3.0,64.875,68.75,0.0,100.0,10,10.0,2.81,5.19
8,2.0,3.5,58.0,62.5,0.0,100.0,8,8.0,3.36,4.64
8,2.5,1.5,80.5,100.0,0.0,100.0,53,53.0,1.56,6.44
8,2.5,2.0,83.75,100.0,0.0,100.0,59,59.0,1.3,6.7
8,2.5,2.5,82.75,100.0,0.0,100.0,52,52.0,1.38,6.62
8,2.5,3.0,83.0,100.0,0.0,100.0,51,51.0,1.36,6.64
8,2.5,3.5,79.875,87.5,0.0,100.0,37,37.0,1.61,6.39
8,3.0,1.5,90.25,100.0,0.0,100.0,82,82.0,0.78,7.22
8,3.0,2.0,93.0,100.0,0.0,100.0,83,83.0,0.56,7.44
8,3.0,2.5,88.875,100.0,0.0,100.0,75,75.0,0.89,7.11
8,3.0,3.0,92.0,100.0,0.0,100.0,80,80.0,0.64,7.36
8,3.0,3.5,88.125,100.0,0.0,100.0,73,73.0,0.95,7.05
8,3.5,1.5,93.5,100.0,12.5,100.0,88,88.0,0.52,7.48
8,3.5,2.0,94.875,100.0,12.5,100.0,89,89.0,0.41,7.59
8,3.5,2.5,92.25,100.0,0.0,100.0,86,86.0,0.62,7.38
8,3.5,3.0,93.75,100.0,12.5,100.0,89,89.0,0.5,7.5
8,3.5,3.5,93.625,100.0,0.0,100.0,88,88.0,0.51,7.49
8,4.0,1.5,94.0,100.0,12.5,100.0,85,85.0,0.48,7.52
8,4.0,2.0,91.625,100.0,0.0,100.0,87,87.0,0.67,7.33
8,4.0,2.5,97.625,100.0,12.5,100.0,94,94.0,0.19,7.81
8,4.0,3.0,94.625,100.0,0.0,100.0,91,91.0,0.43,7.57
8,4.0,3.5,96.875,100.0,25.0,100.0,93,93.0,0.25,7.75
