scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,deletion_percent,deletion_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.05,end,300,0.9066666666666666,0.9154411764705882,0.83,0.07666666666666666,0.09333333333333334,0.7466666666666667,0.0,6.572734427191605
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.05,middle,300,0.9033333333333333,0.915129151291513,0.8266666666666667,0.07666666666666666,0.09666666666666666,0.7733333333333333,0.0,6.504449711058646
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.05,random,300,0.7866666666666666,0.7288135593220338,0.5733333333333334,0.21,0.21666666666666667,1.6533333333333333,0.0,5.105019471990253
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.05,start,300,0.9066666666666666,0.9301470588235294,0.8433333333333334,0.06,0.09666666666666666,0.72,0.0,6.776228024907041
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.1,end,300,0.8933333333333333,0.8955223880597015,0.8,0.09,0.11,0.82,0.0,6.359221083300908
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.1,middle,300,0.8933333333333333,0.917910447761194,0.82,0.07,0.11,0.8366666666666667,0.0,6.308754351321564
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.1,random,300,0.4066666666666667,0.2459016393442623,0.1,0.30333333333333334,0.5966666666666667,4.406666666666666,0.0,3.7627125522271756
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.1,start,300,0.9,0.9333333333333333,0.84,0.06,0.1,0.6866666666666666,0.0,6.65625939338873
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.15,end,300,0.8966666666666666,0.8810408921933085,0.79,0.1,0.11,0.8833333333333333,0.0,6.160854863471391
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.15,middle,300,0.8933333333333333,0.9067164179104478,0.81,0.07666666666666666,0.11333333333333333,0.9,0.0,6.10401426286505
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.15,random,300,0.15,0.0,0.0,0.11,0.89,6.873333333333333,0.0,2.725294530998648
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.15,start,300,0.9066666666666666,0.9227941176470589,0.8366666666666667,0.07,0.09333333333333334,0.73,0.0,6.504157234309316
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.2,end,300,0.8833333333333333,0.8679245283018868,0.7666666666666667,0.11666666666666667,0.11666666666666667,0.9533333333333334,0.0,5.948067104682864
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.2,middle,300,0.88,0.8787878787878788,0.7733333333333333,0.10333333333333333,0.12333333333333334,1.0066666666666666,0.0,5.888194262369217
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.2,random,300,0.05,0.0,0.0,0.01,0.99,7.706666666666667,0.0,2.003425353876523
hierarchical,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.2,start,300,0.89,0.9363295880149812,0.8333333333333334,0.05333333333333334,0.11333333333333333,0.7966666666666666,0.0,6.320516808771743
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.05,end,300,0.9366666666666666,0.9359430604982206,0.8766666666666667,0.056666666666666664,0.06666666666666667,0.7433333333333333,0.0,6.578201292552965
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.05,middle,300,0.9333333333333333,0.9428571428571428,0.88,0.05,0.07,0.79,0.0,6.50131448388711
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.05,random,300,0.89,0.7116104868913857,0.6333333333333333,0.25,0.11666666666666667,1.6566666666666667,0.0,5.112445814965734
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.05,start,300,0.9566666666666667,0.9128919860627178,0.8733333333333333,0.07333333333333333,0.05333333333333334,0.6966666666666667,0.0,6.770809959432702
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.1,end,300,0.9366666666666666,0.9323843416370107,0.8733333333333333,0.056666666666666664,0.07,0.76,0.0,6.370613127724117
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.1,middle,300,0.93,0.946236559139785,0.88,0.04,0.08,0.8333333333333334,0.0,6.314318760354995
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.1,random,300,0.6533333333333333,0.22448979591836735,0.14666666666666667,0.47333333333333333,0.38,4.403333333333333,0.0,3.783035051352991
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.1,start,300,0.9566666666666667,0.9128919860627178,0.8733333333333333,0.07666666666666666,0.05,0.6933333333333334,0.0,6.651201379405828
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.15,end,300,0.9366666666666666,0.9145907473309609,0.8566666666666667,0.07,0.07333333333333333,0.88,0.0,6.168168409541518
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.15,middle,300,0.9166666666666666,0.9163636363636364,0.84,0.07,0.09,0.9533333333333334,0.0,6.0959760245635195
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.15,random,300,0.27666666666666667,0.060240963855421686,0.016666666666666666,0.19,0.7933333333333333,6.696666666666666,0.0,2.771535182306733
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.15,start,300,0.9533333333333334,0.9265734265734266,0.8833333333333333,0.06333333333333334,0.05333333333333334,0.72,0.0,6.484357208640169
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.2,end,300,0.9266666666666666,0.89568345323741,0.83,0.09333333333333334,0.07666666666666666,0.9466666666666667,0.0,5.960823957669991
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.2,middle,300,0.9233333333333333,0.8916967509025271,0.8233333333333334,0.09333333333333334,0.08333333333333333,1.0366666666666666,0.0,5.886964657034713
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.2,random,300,0.05,0.06666666666666667,0.0033333333333333335,0.01,0.9866666666666667,7.73,0.0,2.0048972412255464
hierarchical,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.2,start,300,0.9466666666666667,0.9154929577464789,0.8666666666666667,0.07666666666666666,0.056666666666666664,0.79,0.0,6.310492573730975
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.05,end,300,0.9533333333333334,0.9230769230769231,0.88,0.08333333333333333,0.03666666666666667,0.64,0.0,6.6929575874414375
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.05,middle,300,0.94,0.925531914893617,0.87,0.07666666666666666,0.05333333333333334,0.6966666666666667,0.0,6.602611978013161
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.05,random,300,0.9,0.7185185185185186,0.6466666666666666,0.2733333333333333,0.08,1.5,0.0,5.193342499567251
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.05,start,300,0.9566666666666667,0.9233449477351916,0.8833333333333333,0.07666666666666666,0.04,0.5933333333333334,0.0,6.89514879931613
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.1,end,300,0.9466666666666667,0.9225352112676056,0.8733333333333333,0.07666666666666666,0.05,0.6766666666666666,0.0,6.485948313616955
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.1,middle,300,0.9366666666666666,0.9217081850533808,0.8633333333333333,0.07666666666666666,0.06,0.77,0.0,6.403006618848891
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.1,random,300,0.6366666666666667,0.32460732984293195,0.20666666666666667,0.52,0.2733333333333333,4.403333333333333,0.0,3.8181428845898306
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.1,start,300,0.9666666666666667,0.9137931034482759,0.8833333333333333,0.08333333333333333,0.03333333333333333,0.59,0.0,6.779844834728318
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.15,end,300,0.9333333333333333,0.9142857142857143,0.8533333333333334,0.09,0.056666666666666664,0.7533333333333333,0.0,6.269419247052255
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.15,middle,300,0.9366666666666666,0.900355871886121,0.8433333333333334,0.08666666666666667,0.07,0.8466666666666667,0.0,6.200917700554084
hierarchical,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.15,random,300,0.26,0.07692307692307693,0.02,0.21,0.77,6.63,0.0,2.8205422878318513
