scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_colluders,random_seed,generated_utc,same_group_2_successful,same_group_2_total,same_group_2_success_rate,same_group_2_false_positives,same_group_2_false_positive_rate,same_group_3_successful,same_group_3_total,same_group_3_success_rate,same_group_3_false_positives,same_group_3_false_positive_rate,cross_group_2_successful,cross_group_2_total,cross_group_2_success_rate,cross_group_2_false_positives,cross_group_2_false_positive_rate,mixed_2same_1diff_successful,mixed_2same_1diff_total,mixed_2same_1diff_success_rate,mixed_2same_1diff_false_positives,mixed_2same_1diff_false_positive_rate,cross_group_3_successful,cross_group_3_total,cross_group_3_success_rate,cross_group_3_false_positives,cross_group_3_false_positive_rate,overall_success_rate,success_rate_2_colluders,success_rate_3_colluders,overall_false_positive_rate,false_positive_rate_2_colluders,false_positive_rate_3_colluders
hierarchical,gpt2,job_8126742,8,1.0,7.0,300,2,93240072,2026-01-03T22:39:15.993669Z,299.0,300.0,99.66666666666667,8409.0,2803.0,,,,,,,,,,,,,,,,,,,,,99.66666666666667,99.66666666666667,0.0,2803.0,2803.0,0.0
hierarchical,gpt2,job_8126742,8,1.0,7.0,300,3,93240072,2026-01-03T22:39:15.993669Z,,,,,,300.0,300.0,100.0,8071.0,2690.333333333333,,,,,,,,,,,,,,,,100.0,0.0,100.0,2690.333333333333,0.0,2690.333333333333
hierarchical,gpt2,job_8126742,8,2.0,6.0,300,2,100923605,2026-01-04T02:56:54.229530Z,300.0,300.0,100.0,6543.0,2181.0,,,,,,297.0,300.0,99.0,6493.0,2164.3333333333335,,,,,,,,,,,99.5,99.5,0.0,2172.6666666666665,2172.6666666666665,0.0
hierarchical,gpt2,job_8126742,8,2.0,6.0,300,3,100923605,2026-01-04T02:56:54.229530Z,,,,,,300.0,300.0,100.0,6209.0,2069.6666666666665,,,,,,300.0,300.0,100.0,6235.0,2078.3333333333335,,,,,,100.0,0.0,100.0,2074.0,0.0,2074.0
hierarchical,gpt2,job_8126742,8,3.0,5.0,300,2,116382374,2026-01-04T08:34:41.112684Z,299.0,300.0,99.66666666666667,5496.0,1832.0,,,,,,299.0,300.0,99.66666666666667,5262.0,1754.0,,,,,,,,,,,99.66666666666667,99.66666666666667,0.0,1793.0,1793.0,0.0
hierarchical,gpt2,job_8126742,8,3.0,5.0,300,3,116382374,2026-01-04T08:34:41.112684Z,,,,,,300.0,300.0,100.0,4920.0,1639.9999999999998,,,,,,300.0,300.0,100.0,5098.0,1699.3333333333333,300.0,300.0,100.0,4939.0,1646.3333333333335,100.0,0.0,100.0,1661.888888888889,0.0,1661.888888888889
hierarchical,gpt2,job_8126742,8,4.0,4.0,300,2,136650657,2026-01-04T14:08:45.985784Z,300.0,300.0,100.0,4854.0,1618.0,,,,,,300.0,300.0,100.0,5206.0,1735.3333333333333,,,,,,,,,,,100.0,100.0,0.0,1676.6666666666665,1676.6666666666665,0.0
hierarchical,gpt2,job_8126742,8,4.0,4.0,300,3,136650657,2026-01-04T14:08:45.985784Z,,,,,,300.0,300.0,100.0,4260.0,1420.0,,,,,,300.0,300.0,100.0,4611.0,1537.0,300.0,300.0,100.0,5076.0,1692.0000000000002,100.0,0.0,100.0,1549.6666666666665,0.0,1549.6666666666665
hierarchical,gpt2,job_8126742,8,5.0,3.0,300,2,156697283,2026-01-04T19:45:15.743230Z,298.0,300.0,99.33333333333333,4855.0,1618.3333333333333,,,,,,300.0,300.0,100.0,5326.0,1775.3333333333335,,,,,,,,,,,99.66666666666667,99.66666666666667,0.0,1696.8333333333335,1696.8333333333335,0.0
hierarchical,gpt2,job_8126742,8,5.0,3.0,300,3,156697283,2026-01-04T19:45:15.743230Z,,,,,,299.0,300.0,99.66666666666667,4206.0,1402.0,,,,,,300.0,300.0,100.0,4549.0,1516.3333333333335,300.0,300.0,100.0,5089.0,1696.3333333333335,99.8888888888889,0.0,99.8888888888889,1538.2222222222222,0.0,1538.2222222222222
hierarchical,gpt2,job_8126742,8,6.0,2.0,300,2,176889048,2026-01-05T01:22:05.510702Z,299.0,300.0,99.66666666666667,5281.0,1760.3333333333333,,,,,,300.0,300.0,100.0,5347.0,1782.3333333333335,,,,,,,,,,,99.83333333333333,99.83333333333333,0.0,1771.3333333333335,1771.3333333333335,0.0
hierarchical,gpt2,job_8126742,8,6.0,2.0,300,3,176889048,2026-01-05T01:22:05.510702Z,,,,,,300.0,300.0,100.0,4800.0,1600.0,,,,,,300.0,300.0,100.0,5000.0,1666.6666666666667,300.0,300.0,100.0,4984.0,1661.3333333333333,100.0,0.0,100.0,1642.6666666666665,0.0,1642.6666666666665
hierarchical,gpt2,job_8126742,8,7.0,1.0,300,2,197095997,2026-01-05T05:40:04.224911Z,297.0,300.0,99.0,6350.0,2116.666666666667,,,,,,299.0,300.0,99.66666666666667,5528.0,1842.6666666666665,,,,,,,,,,,99.33333333333333,99.33333333333333,0.0,1979.6666666666667,1979.6666666666667,0.0
hierarchical,gpt2,job_8126742,8,7.0,1.0,300,3,197095997,2026-01-05T05:40:04.224911Z,,,,,,,,,,,,,,,,300.0,300.0,100.0,5901.0,1967.0000000000002,300.0,300.0,100.0,5091.0,1697.0,100.0,0.0,100.0,1832.0,0.0,1832.0
hierarchical,gpt2,job_8126742,8,8.0,0.0,300,2,212575746,2026-01-05T07:49:13.039836Z,,,,,,,,,,,300.0,300.0,100.0,5848.0,1949.3333333333333,,,,,,,,,,,100.0,100.0,0.0,1949.3333333333333,1949.3333333333333,0.0
hierarchical,gpt2,job_8126742,8,8.0,0.0,300,3,212575746,2026-01-05T07:49:13.039836Z,,,,,,,,,,,,,,,,,,,,,300.0,300.0,100.0,4913.0,1637.6666666666665,100.0,0.0,100.0,1637.6666666666665,0.0,1637.6666666666665
naive,gpt2,job_8126742,8,,,300,2,70840946,2026-01-03T20:31:10.910205Z,295.0,300.0,98.33333333333333,8281.0,2760.333333333333,,,,,,300.0,300.0,100.0,8377.0,2792.333333333333,,,,,,,,,,,99.16666666666667,99.16666666666667,0.0,2776.333333333333,2776.333333333333,0.0
