L,Total_Prompts,Successful,Avg_Accuracy_Percent,Median_Accuracy_Percent,Min_Accuracy_Percent,Max_Accuracy_Percent,Exact_Matches,Exact_Match_Rate_Percent,Avg_Undecided_Bits,Avg_Decided_Bits
4,300,300,98.91666666666667,100.0,0.0,100.0,293,97.66666666666667,0.043333333333333335,3.9566666666666666
5,300,300,97.6,100.0,0.0,100.0,286,95.33333333333334,0.12,4.88
6,300,300,95.55555555555554,100.0,0.0,100.0,278,92.66666666666666,0.26666666666666666,5.733333333333333
7,300,300,95.28571428571428,100.0,0.0,100.0,276,92.0,0.33,6.67
8,300,300,91.70833333333333,100.0,0.0,100.0,251,83.66666666666667,0.6633333333333333,7.336666666666667
9,300,300,91.0,100.0,0.0,100.0,240,80.0,0.81,8.19
10,300,300,82.8,100.0,0.0,100.0,167,55.666666666666664,1.72,8.28
11,300,300,80.84848484848486,90.9090909090909,0.0,100.0,106,35.333333333333336,2.1066666666666665,8.893333333333333
12,300,300,72.27777777777779,83.33333333333334,0.0,100.0,31,10.333333333333334,3.3266666666666667,8.673333333333334
13,300,300,57.410256410256416,61.53846153846154,0.0,100.0,4,1.3333333333333335,5.536666666666667,7.463333333333333
14,300,300,47.8095238095238,50.0,0.0,100.0,1,0.33333333333333337,7.306666666666667,6.693333333333333
15,300,300,38.2,40.0,0.0,86.66666666666667,0,0.0,9.27,5.73
16,300,300,32.708333333333336,34.375,0.0,81.25,0,0.0,10.766666666666667,5.233333333333333
17,300,300,25.96078431372549,23.52941176470588,0.0,64.70588235294117,0,0.0,12.58,4.42
